,Other_Road_List
614,"w estate,we street,toll way,houston toll way,sam houston toll way,clay drive,at clay drive,southbound at clay drive"
615,"toll way,houston toll way,sam houston toll way"
616,"toll way,houston toll way,sam houston toll way"
617,"toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace"
618,"wa terrace,high wa terrace,- high wa terrace"
619,"belt way,at belt way,westbound at belt way,8-w estate,beltway 8-w estate,at beltway 8-w estate,8-we street,beltway 8-we street,at beltway 8-we street,wa terrace,high wa terrace,- high wa terrace"
620,"w estate,we street,toll way,houston toll way,sam houston toll way,richmond avenue,at richmond avenue,northbound at richmond avenue,wa terrace,high wa terrace,- high wa terrace"
621,"belt way,8-w estate,beltway 8-w estate,8-we street,beltway 8-we street,bell fort,at bell fort,southbound at bell fort,wa terrace,high wa terrace,- high wa terrace"
622,"wa terrace,high wa terrace,- high wa terrace"
623,"wa terrace,high wa terrace,- high wa terrace"
624,"toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace"
625,"grand parkway,sh-99 grand parkway,pk way,grand pk way,sh-99 grand pk way,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
626,"wa terrace,high wa terrace,- high wa terrace"
627,"gu loaf,ih-45 gu loaf,farm road,fm-1959dixie farm road,at fm-1959dixie farm road,wa terrace,high wa terrace,- high wa terrace"
628,"gu loaf,ih-45 gu loaf,dorado boulevard,el dorado boulevard,at el dorado boulevard,wa terrace,high wa terrace,- high wa terrace"
629,"toll road,hardy toll road,rankin road,at rankin road,southbound at rankin road,wa terrace,high wa terrace,- high wa terrace"
630,None
631,"southw estate,ih-69 southw estate,southwe street,ih-69 southwe street,bell fort,at bell fort,southbound at bell fort,bellfort avenue,at bellfort avenue,southbound at bellfort avenue,wa terrace,high wa terrace,- high wa terrace"
632,"southw estate,ih-69 southw estate,southwe street,ih-69 southwe street,rock road,chimney rock road,at chimney rock road,wa terrace,high wa terrace,- high wa terrace"
633,"southw estate,ih-69 southw estate,southwe street,ih-69 southwe street,bellaire boulevard,at bellaire boulevard,northbound at bellaire boulevard,wa terrace,high wa terrace,- high wa terrace"
634,"17th street,sh-35 17th street,at sh-35 17th street,wa terrace,high wa terrace,- high wa terrace"
635,"montgomery-harr island,at montgomery-harr island,southbound at montgomery-harr island,wa terrace,high wa terrace,- high wa terrace"
636,"montgomery-harr island,at montgomery-harr island,northbound at montgomery-harr island,wa terrace,high wa terrace,- high wa terrace"
637,"w estate,we street,toll way,houston toll way,sam houston toll way,west park,at west park,southbound at west park,westpark drive,at westpark drive,southbound at westpark drive,wa terrace,high wa terrace,- high wa terrace"
638,"w estate,we street,toll way,houston toll way,sam houston toll way,bissonnet street,at bissonnet street,northbound at bissonnet street,wa terrace,high wa terrace,- high wa terrace"
639,"pederson road,at pederson road,eastbound at pederson road,wa terrace,high wa terrace,- high wa terrace"
640,"ea street,ih-10 ea street,cedar lane,at cedar lane,westbound at cedar lane,wa terrace,high wa terrace,- high wa terrace"
641,"ea street,ih-10 ea street,cedar lane,at cedar lane,eastbound at cedar lane,wa terrace,high wa terrace,- high wa terrace"
642,"huffman road,2100crosby huffman road,fm 2100crosby huffman road,wa terrace,high wa terrace,- high wa terrace"
643,"fostoria road,at fostoria road,southbound at fostoria road,wa terrace,high wa terrace,- high wa terrace"
644,"chapel road,wyatt chapel road,at wyatt chapel road,wa terrace,high wa terrace,- high wa terrace"
645,"wa terrace,high wa terrace,- high wa terrace"
646,"grand parkway,sh-99 grand parkway,park way,grand park way,sh-99 grand park way,w estate,- w estate,parkway - w estate,we street,- we street,parkway - we street,wa terrace,high wa terrace,- high wa terrace"
647,"grand parkway,sh-99 grand parkway,park way,grand park way,sh-99 grand park way,w estate,- w estate,parkway - w estate,we street,- we street,parkway - we street,bridge land,n bridge land,at n bridge land,bridgeland lake,n bridgeland lake,at n bridgeland lake,lake parkway,bridgeland lake parkway,n bridgeland lake parkway,pk way,lake pk way,bridgeland lake pk way,wa terrace,high wa terrace,- high wa terrace"
648,"southw estate,ih-69 southw estate,southwe street,ih-69 southwe street,bell fort,at bell fort,southbound at bell fort,bellfort avenue,at bellfort avenue,southbound at bellfort avenue,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
649,"peach ridge,at peach ridge,westbound at peach ridge,ridge road,peach ridge road,at peach ridge road,wa terrace,high wa terrace,- high wa terrace"
650,"toll road,hardy toll road,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
651,"toll road,hardy toll road,wa terrace,high wa terrace,- high wa terrace"
652,"toll road,hardy toll road,west field,aldine west field,at aldine west field,westfield road,aldine westfield road,at aldine westfield road,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
653,"toll road,hardy toll road,wa terrace,high wa terrace,- high wa terrace"
654,"peach ridge,at peach ridge,westbound at peach ridge,ridge road,peach ridge road,at peach ridge road,wa terrace,high wa terrace,- high wa terrace"
655,"toll road,hardy toll road,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
656,"wa terrace,high wa terrace,- high wa terrace"
657,None
658,"ea street,toll way,houston toll way,sam houston toll way,genoa-red bluff,at genoa-red bluff,northbound at genoa-red bluff,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
659,"belt way,at greens,eastbound at greens,8-north eastbound at greens,greens crossing,at greens crossing,eastbound at greens crossing,crossing boulevard,greens crossing boulevard,at greens crossing boulevard,wa terrace,high wa terrace,- high wa terrace,frontage road,4 frontage road,affected: 4 frontage road"
660,"wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
661,"af terrace,westbound af terrace,katy westbound af terrace,grand parkway,sh-99 grand parkway,after sh-99 grand parkway,park way,grand park way,sh-99 grand park way,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
662,"greenhouse road,at greenhouse road,westbound at greenhouse road,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
663,"cypress road,barker cypress road,at barker cypress road,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
664,"wa terrace,high wa terrace,- high wa terrace"
665,"gu loaf,ih-45 gu loaf,dallas street,w dallas street,at w dallas street,wa terrace,high wa terrace,- high wa terrace"
666,"wa terrace,high wa terrace,- high wa terrace"
667,"eastex freeway,ih-69 eastex freeway,free way,eastex free way,ih-69 eastex free way,collingsworth street,at collingsworth street,northbound at collingsworth street,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
668,"wa terrace,high wa terrace,- high wa terrace"
669,"ea street,toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
670,"wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
671,"gu loaf,ih-45 gu loaf,sh-3monroe road,at sh-3monroe road,southbound at sh-3monroe road,wa terrace,high wa terrace,- high wa terrace"
672,"wa terrace,high wa terrace,- high wa terrace"
673,"w estate,we street,toll way,houston toll way,sam houston toll way,philip pine,at philip pine,northbound at philip pine,philippine street,at philippine street,northbound at philippine street"
674,"wa terrace,high wa terrace,- high wa terrace"
675,"wa terrace,high wa terrace,- high wa terrace"
676,"toll way,tomball toll way"
677,"belt way,8-ea street,beltway 8-ea street,wallis ville,at wallis ville,southbound at wallis ville,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
678,"eastex freeway,ih-69 eastex freeway,free way,eastex free way,ih-69 eastex free way,parker road,at parker road,southbound at parker road,wa terrace,high wa terrace,- high wa terrace,frontage road,4 frontage road,affected: 4 frontage road"
679,"eastex freeway,ih-69 eastex freeway,free way,eastex free way,ih-69 eastex free way,parker road,at parker road,northbound at parker road,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
680,"belt way,8-ea street,beltway 8-ea street,wallis ville,at wallis ville,northbound at wallis ville,frontage road,3 frontage road,affected: 3 frontage road"
681,"eastex freeway,ih-69 eastex freeway,free way,eastex free way,ih-69 eastex free way,crosstimbers street,at crosstimbers street,southbound at crosstimbers street,wa terrace,high wa terrace,- high wa terrace"
682,"eastex freeway,ih-69 eastex freeway,free way,eastex free way,ih-69 eastex free way,kelley street,at kelley street,southbound at kelley street,wa terrace,high wa terrace,- high wa terrace"
683,"eastex freeway,ih-69 eastex freeway,free way,eastex free way,ih-69 eastex free way,kelley street,at kelley street,northbound at kelley street,wa terrace,high wa terrace,- high wa terrace"
684,"chocolate bayou,at chocolate bayou,southbound at chocolate bayou,bayou road,chocolate bayou road,at chocolate bayou road,wa terrace,high wa terrace,- high wa terrace"
685,"chocolate bayou,at chocolate bayou,northbound at chocolate bayou,bayou road,chocolate bayou road,at chocolate bayou road,wa terrace,high wa terrace,- high wa terrace"
686,"grand parkway,sh-99 grand parkway,pk way,grand pk way,sh-99 grand pk way,wa terrace,high wa terrace,- high wa terrace,frontage road,2 frontage road,affected: 2 frontage road"
687,"grand parkway,sh-99 grand parkway,pk way,grand pk way,sh-99 grand pk way,wa terrace,high wa terrace,- high wa terrace,frontage road,2 frontage road,affected: 2 frontage road"
688,"north loop,ih-610 north loop,homestead road,at homestead road,westbound at homestead road,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
689,"north loop,ih-610 north loop,homestead road,at homestead road,eastbound at homestead road,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
690,"grand parkway,sh-99 grand parkway,pk way,grand pk way,sh-99 grand pk way,wa terrace,high wa terrace,- high wa terrace"
691,"ferne drive,at ferne drive,eastbound at ferne drive,wa terrace,high wa terrace,- high wa terrace"
692,"grand parkway,sh-99 grand parkway,pk way,grand pk way,sh-99 grand pk way,riverwa lake,at riverwa lake,westbound at riverwa lake,river walk,at river walk,westbound at river walk,riverwalk drive,at riverwalk drive,westbound at riverwalk drive,wa terrace,high wa terrace,- high wa terrace"
693,"belt way,8-w estate,beltway 8-w estate,8-we street,beltway 8-we street,westheimer road,fm-1093 westheimer road,at fm-1093 westheimer road,wa terrace,high wa terrace,- high wa terrace"
694,"york road,little york road,at little york road,wa terrace,high wa terrace,- high wa terrace"
695,"north loop,ih-610 north loop,at ih-610 north loop"
696,"tid well,at tid well,northbound at tid well,tidwell road,at tidwell road,northbound at tidwell road,wa terrace,high wa terrace,- high wa terrace"
697,"airline drive,at airline drive,northbound at airline drive,wa terrace,high wa terrace,- high wa terrace"
698,"249 mount,sh 249 mount,at sh 249 mount,houston road,mount houston road,249 mount houston road,wa terrace,high wa terrace,- high wa terrace"
699,"belt way,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
700,"wa terrace,high wa terrace,- high wa terrace"
701,"wa terrace,high wa terrace,- high wa terrace"
702,"broad way,sh-87 broad way,rollover pass,at rollover pass,northbound at rollover pass,wa terrace,high wa terrace,- high wa terrace"
703,"broad way,sh-87 broad way,wa terrace,high wa terrace,- high wa terrace"
704,"2nd street,87 2nd street,sh 87 2nd street,wa terrace,high wa terrace,- high wa terrace"
705,"gu loaf,45 gu loaf,ih 45 gu loaf,gulf freeway,45 gulf freeway,ih 45 gulf freeway,free way,gulf free way,45 gulf free way,wa terrace,high wa terrace,- high wa terrace"
706,"grand parkway,sh-99 grand parkway,park way,grand park way,sh-99 grand park way,w estate,- w estate,parkway - w estate,we street,- we street,parkway - we street,w estate,at w estate,southbound at w estate,we street,at we street,southbound at we street,west road,at west road,southbound at west road,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
707,"grand parkway,sh-99 grand parkway,park way,grand park way,sh-99 grand park way,w estate,- w estate,parkway - w estate,we street,- we street,parkway - we street,w estate,at w estate,northbound at w estate,we street,at we street,northbound at we street,west road,at west road,northbound at west road,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
708,"wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
709,"wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
710,"ea street,ih-10 ea street,gellhorn drive,at gellhorn drive,westbound at gellhorn drive,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
711,"gu loaf,ih-45 gu loaf,dorado boulevard,el dorado boulevard,at el dorado boulevard,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
712,"nasa road,gu loaf,ih-45 gu loaf,at ih-45 gu loaf,wa terrace,high wa terrace,- high wa terrace"
713,"nasa road,gu loaf,ih-45 gu loaf,at ih-45 gu loaf,wa terrace,high wa terrace,- high wa terrace"
714,"gu loaf,ih-45 gu loaf,fm-2351clear lake,at fm-2351clear lake,northbound at fm-2351clear lake,city boulevard,lake city boulevard,fm-2351clear lake city boulevard,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
715,"gu loaf,ih-45 gu loaf,fm-2351clear lake,at fm-2351clear lake,southbound at fm-2351clear lake,city boulevard,lake city boulevard,fm-2351clear lake city boulevard,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
716,"gu loaf,ih-45 gu loaf,farm road,fm-1959dixie farm road,at fm-1959dixie farm road,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
717,"gu loaf,ih-45 gu loaf,dorado boulevard,el dorado boulevard,at el dorado boulevard,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
718,"gu loaf,ih-45 gu loaf,farm road,fm-1959dixie farm road,at fm-1959dixie farm road,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
719,"gu loaf,ih-45 gu loaf,edge brook,at edge brook,southbound at edge brook,drclearwood drive,edgebrook drclearwood drive,at edgebrook drclearwood drive,wa terrace,high wa terrace,- high wa terrace,frontage road,2 frontage road,affected: 2 frontage road"
720,"toll way,houston toll way,sam houston toll way"
721,"gu loaf,ih-45 gu loaf,sh-3monroe road,at sh-3monroe road,southbound at sh-3monroe road,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
722,"w estate,at w estate,southbound at w estate,we street,at we street,southbound at we street,west road,at west road,southbound at west road,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
723,"w estate,at w estate,northbound at w estate,we street,at we street,northbound at we street,west road,at west road,northbound at west road,wa terrace,high wa terrace,- high wa terrace"
724,"wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
725,"wa terrace,high wa terrace,- high wa terrace"
726,"ea street,toll way,houston toll way,sam houston toll way,king parkway,e king parkway,c e king parkway,pk way,king pk way,e king pk way,wa terrace,high wa terrace,- high wa terrace"
727,"ea street,toll way,houston toll way,sam houston toll way,tid well,at tid well,northbound at tid well,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
728,"toll way,houston toll way,sam houston toll way,wilson road,at wilson road,eastbound at wilson road,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
729,"toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace"
730,"toll way,houston toll way,sam houston toll way"
731,"ea street,toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
732,"ea street,toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
733,"ea street,toll way,houston toll way,sam houston toll way,generation parkway,at generation parkway,northbound at generation parkway,pk way,generation pk way,at generation pk way,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
734,"ea street,toll way,houston toll way,sam houston toll way,generation parkway,at generation parkway,southbound at generation parkway,pk way,generation pk way,at generation pk way,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
735,"toll way,houston toll way,sam houston toll way,lockwood drive,at lockwood drive,westbound at lockwood drive,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
736,"toll way,houston toll way,sam houston toll way,lockwood drive,at lockwood drive,eastbound at lockwood drive,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
737,"toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
738,"toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
739,"bell fort,at bell fort,southbound at bell fort,bellfort boulevard,at bellfort boulevard,southbound at bellfort boulevard,wa terrace,high wa terrace,- high wa terrace"
740,"belt way,at belt way,southbound at belt way,wa terrace,high wa terrace,- high wa terrace"
741,"toll way,houston toll way,sam houston toll way,p key,memorial p key,veterans memorial p key,memorial parkway,veterans memorial parkway,at veterans memorial parkway"
742,"shephe road,n shephe road,at n shephe road,shepherd drive,n shepherd drive,at n shepherd drive,wa terrace,high wa terrace,- high wa terrace"
743,"shephe road,n shephe road,at n shephe road,shepherd drive,n shepherd drive,at n shepherd drive,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
744,"tomball parkway,sh-249 tomball parkway,park way,tomball park way,sh-249 tomball park way,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
745,"wa terrace,high wa terrace,- high wa terrace"
746,"lo island,at lo island,eastbound at lo island,lois lane,at lois lane,eastbound at lois lane,wa terrace,high wa terrace,- high wa terrace"
747,"wa terrace,high wa terrace,- high wa terrace"
748,"grand parkway,sh-99 grand parkway,pk way,grand pk way,sh-99 grand pk way,wa terrace,high wa terrace,- high wa terrace"
749,"grand parkway,sh-99 grand parkway,pk way,grand pk way,sh-99 grand pk way,wa terrace,high wa terrace,- high wa terrace"
750,"patterson street,at patterson street,westbound at patterson street,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
751,"yale street,at yale street,eastbound at yale street,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
752,"w estate,ih-610 w estate,we street,ih-610 we street,west loop,ih-610 west loop,po street,at po street,northbound at po street,oak road,post oak road,at post oak road,wa terrace,high wa terrace,- high wa terrace"
753,"toll way,houston toll way,sam houston toll way,sam plaza,north sam plaza,before north sam plaza"
754,"w estate,ih-610 w estate,we street,ih-610 we street,west loop,ih-610 west loop,po street,at po street,southbound at po street,oak road,post oak road,at post oak road"
755,"jes terrace,c jes terrace,t c jes terrace,jester boulevard,c jester boulevard,t c jester boulevard,wa terrace,high wa terrace,- high wa terrace"
756,"jes terrace,c jes terrace,t c jes terrace,jester boulevard,c jester boulevard,t c jester boulevard,wa terrace,high wa terrace,- high wa terrace"
757,"north loop,ih-610 north loop,lockwood drive,at lockwood drive,westbound at lockwood drive,wa terrace,high wa terrace,- high wa terrace"
758,"north loop,ih-610 north loop,lockwood drive,at lockwood drive,eastbound at lockwood drive,wa terrace,high wa terrace,- high wa terrace"
759,"gregor drive,mac gregor drive,before mac gregor drive,wa terrace,high wa terrace,- high wa terrace,frontage road,2 frontage road,affected: 2 frontage road"
760,"af terrace,northbound af terrace,sh-288 northbound af terrace,gregor drive,mac gregor drive,after mac gregor drive,wa terrace,high wa terrace,- high wa terrace,frontage road,1 frontage road,affected: 1 frontage road"
761,"bissonnet street,at bissonnet street,eastbound at bissonnet street,wa terrace,high wa terrace,- high wa terrace"
762,"ea street,toll way,houston toll way,sam houston toll way,tid well,at tid well,southbound at tid well,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
763,"nordt road,at nordt road,southbound at nordt road,wa terrace,high wa terrace,- high wa terrace"
764,"grand parkway,sh-99 grand parkway,park way,grand park way,sh-99 grand park way,w estate,- w estate,parkway - w estate,we street,- we street,parkway - we street,clay road,at clay road,northbound at clay road,wa terrace,high wa terrace,- high wa terrace"
765,"toll way,houston toll way,sam houston toll way,sam plaza,north sam plaza,before north sam plaza"
766,"nordt road,at nordt road,northbound at nordt road,wa terrace,high wa terrace,- high wa terrace"
767,"249 mount,sh 249 mount,at sh 249 mount,houston road,mount houston road,249 mount houston road,wa terrace,high wa terrace,- high wa terrace"
768,"gu loaf,at gu loaf,northbound at gu loaf,bank road,gulf bank road,at gulf bank road,wa terrace,high wa terrace,- high wa terrace"
769,"hol land,at hol land,southbound at hol land,wa terrace,high wa terrace,- high wa terrace"
770,"gu loaf,ih-45 gu loaf,at ih-45 gu loaf,wa terrace,high wa terrace,- high wa terrace"
771,"wa terrace,high wa terrace,- high wa terrace"
772,"hol land,at hol land,northbound at hol land,wa terrace,high wa terrace,- high wa terrace"
773,"af terrace,northbound af terrace,sh-288 northbound af terrace,southw estate,ih-69 southw estate,after ih-69 southw estate,southwe street,ih-69 southwe street,after ih-69 southwe street,wa terrace,high wa terrace,- high wa terrace"
774,"air port,at air port,southbound at air port,airport boulevard,at airport boulevard,southbound at airport boulevard,wa terrace,high wa terrace,- high wa terrace"
775,"bell fort,at bell fort,southbound at bell fort,bellfort boulevard,at bellfort boulevard,southbound at bellfort boulevard,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
776,"bell fort,at bell fort,northbound at bell fort,bellfort boulevard,at bellfort boulevard,northbound at bellfort boulevard,wa terrace,high wa terrace,- high wa terrace"
777,"ea street,toll way,houston toll way,sam houston toll way,red bluff,at red bluff,southbound at red bluff,bluff road,red bluff road,at red bluff road,wa terrace,high wa terrace,- high wa terrace"
778,"ea street,toll way,houston toll way,sam houston toll way,red bluff,at red bluff,northbound at red bluff,bluff road,red bluff road,at red bluff road,wa terrace,high wa terrace,- high wa terrace"
779,"ea street,toll way,houston toll way,sam houston toll way,fairmont parkway,at fairmont parkway,northbound at fairmont parkway,pk way,fairmont pk way,at fairmont pk way,wa terrace,high wa terrace,- high wa terrace"
780,"w estate,we street,toll way,houston toll way,sam houston toll way,boheme drive,at boheme drive,northbound at boheme drive,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
781,"toll way,houston toll way,sam houston toll way,cullen boulevard,fm-865 cullen boulevard,at fm-865 cullen boulevard,wa terrace,high wa terrace,- high wa terrace"
782,"toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
783,"wa terrace,high wa terrace,- high wa terrace"
784,"fm-762thompson road,at fm-762thompson road,southbound at fm-762thompson road,wa terrace,high wa terrace,- high wa terrace"
785,"w estate,we street,toll way,houston toll way,sam houston toll way,clay drive,at clay drive,southbound at clay drive,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
786,"belt way,8-ea street,beltway 8-ea street,fairmont parkway,at fairmont parkway,northbound at fairmont parkway,pk way,fairmont pk way,at fairmont pk way,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
787,"wa terrace,high wa terrace,- high wa terrace"
788,"fm-762thompson road,at fm-762thompson road,northbound at fm-762thompson road,wa terrace,high wa terrace,- high wa terrace"
789,"af terrace,southbound af terrace,sh-288 southbound af terrace,ha road,mc ha road,fm-2234 mc ha road,hard road,mc hard road,fm-2234 mc hard road,wa terrace,high wa terrace,- high wa terrace,frontage road,2 frontage road,affected: 2 frontage road"
790,"ha road,mc ha road,fm-2234 mc ha road,hard road,mc hard road,fm-2234 mc hard road,wa terrace,high wa terrace,- high wa terrace,frontage road,2 frontage road,affected: 2 frontage road"
791,"belt way,8-w estate,beltway 8-w estate,8-we street,beltway 8-we street,for estate,briar for estate,at briar for estate,briar forest,at briar forest,northbound at briar forest,fo rest,briar fo rest,at briar fo rest,fore street,briar fore street,at briar fore street,forest drive,briar forest drive,at briar forest drive,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
792,"w estate,we street,toll way,houston toll way,sam houston toll way,memorial drive,at memorial drive,northbound at memorial drive,wa terrace,high wa terrace,- high wa terrace"
793,"toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
794,"toll road,hardy toll road,richey road,at richey road,southbound at richey road,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
795,"toll road,hardy toll road,richey road,at richey road,northbound at richey road,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
796,"south loop,ih-610 south loop,at ih-610 south loop,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
797,"w estate,we street,toll way,houston toll way,sam houston toll way,bissonnet street,at bissonnet street,southbound at bissonnet street,wa terrace,high wa terrace,- high wa terrace,frontage road,1 frontage road,affected: 1 frontage road"
798,"w estate,we street,toll way,houston toll way,sam houston toll way,bissonnet street,at bissonnet street,northbound at bissonnet street,wa terrace,high wa terrace,- high wa terrace"
799,"ea street,toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
800,"toll road,hardy toll road,richey road,at richey road,southbound at richey road,wa terrace,high wa terrace,- high wa terrace"
801,"w estate,we street,toll way,houston toll way,sam houston toll way,richmond avenue,at richmond avenue,northbound at richmond avenue,wa terrace,high wa terrace,- high wa terrace"
802,"toll road,hardy toll road,rankin road,at rankin road,northbound at rankin road,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
803,"toll road,hardy toll road,richey road,at richey road,northbound at richey road,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
804,"belt way,wa terrace,high wa terrace,- high wa terrace"
805,"toll road,hardy toll road,belt way,at belt way,southbound at belt way,wa terrace,high wa terrace,- high wa terrace"
806,"ea street,toll way,houston toll way,sam houston toll way,fairmont parkway,at fairmont parkway,northbound at fairmont parkway,pk way,fairmont pk way,at fairmont pk way,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
807,"toll way,houston toll way,sam houston toll way,gu loaf,ih-45 gu loaf,at ih-45 gu loaf,gulf freeway,ih-45 gulf freeway,at ih-45 gulf freeway,f way,gulf f way,ih-45 gulf f way,wa terrace,high wa terrace,- high wa terrace"
808,"toll road,hardy toll road,mail route,aldine mail route,at aldine mail route,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
809,"w estate,we street,toll way,houston toll way,sam houston toll way,tanner road,at tanner road,northbound at tanner road,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
810,"w estate,we street,toll way,houston toll way,sam houston toll way,west view,at west view,southbound at west view,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
811,"belt way,8-ea street,beltway 8-ea street,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
